Title,Date,Year,Month,Month_Name,Day,Weekday,Series,Episode
Entrevías: Temporada 3: Machitos violentos,2025-02-18,2025,2,February,18,Tuesday,Entrevías,Temporada 3: Machitos violentos
Entrevías: Temporada 3: Llanto,2025-02-18,2025,2,February,18,Tuesday,Entrevías,Temporada 3: Llanto
Entrevías: Temporada 3: Culpa,2025-02-17,2025,2,February,17,Monday,Entrevías,Temporada 3: Culpa
Entrevías: Temporada 3: Un palo en el avispero,2025-02-17,2025,2,February,17,Monday,Entrevías,Temporada 3: Un palo en el avispero
Cacería implacable: O. J. Simpson: Temporada 1: La sangre,2025-02-16,2025,2,February,16,Sunday,Cacería implacable,O. J. Simpson: Temporada 1: La sangre
Cobra Kai: Temporada 6: Fuera de sí,2025-02-15,2025,2,February,15,Saturday,Cobra Kai,Temporada 6: Fuera de sí
Cobra Kai: Temporada 6: Prueba de fuego,2025-02-15,2025,2,February,15,Saturday,Cobra Kai,Temporada 6: Prueba de fuego
Envidiosa: Temporada 2: Choque de frente,2025-02-15,2025,2,February,15,Saturday,Envidiosa,Temporada 2: Choque de frente
Dexter: Temporada 1: Devolver al remitente,2025-01-21,2025,1,January,21,Tuesday,Dexter,Temporada 1: Devolver al remitente
Dexter: Temporada 1: Love American Style,2025-01-20,2025,1,January,20,Monday,Dexter,Temporada 1: Love American Style
Dexter: Temporada 1: Démosle una mano al chico,2025-01-20,2025,1,January,20,Monday,Dexter,Temporada 1: Démosle una mano al chico
Dexter: Temporada 1: Popping Cherry,2025-01-20,2025,1,January,20,Monday,Dexter,Temporada 1: Popping Cherry
Ese es mi hijo,2025-01-15,2025,1,January,15,Wednesday,Ese es mi hijo,
¿...Y dónde están las rubias?,2025-01-15,2025,1,January,15,Wednesday,¿...Y dónde están las rubias?,
"Love, Death & Robots: Volumen 1: LOS TRES ROBOTS",2025-01-15,2025,1,January,15,Wednesday,"Love, Death & Robots",Volumen 1: LOS TRES ROBOTS
"Love, Death & Robots: Volumen 3: Mal viaje",2025-01-15,2025,1,January,15,Wednesday,"Love, Death & Robots",Volumen 3: Mal viaje
Departure: Vuelo 716: Temporada 1: Sobreviviente,2025-01-06,2025,1,January,6,Monday,Departure,Vuelo 716: Temporada 1: Sobreviviente
Departure: Vuelo 716: Temporada 1: Desaparecido,2025-01-06,2025,1,January,6,Monday,Departure,Vuelo 716: Temporada 1: Desaparecido
Caso no resuelto: ¿Quién mató a JonBenét Ramsey?: Temporada 1: Lluvia de sospechas,2025-01-06,2025,1,January,6,Monday,Caso no resuelto,¿Quién mató a JonBenét Ramsey?: Temporada 1: Lluvia de sospechas
Cobra Kai VI: Dentro del dojo: Temporada 1: Parte 2,2025-01-06,2025,1,January,6,Monday,Cobra Kai VI,Dentro del dojo: Temporada 1: Parte 2
Cobra Kai: Temporada 6: Eunjangdo,2025-01-06,2025,1,January,6,Monday,Cobra Kai,Temporada 6: Eunjangdo
Dexter: Temporada 2: An Inconvenient Lie,2025-01-05,2025,1,January,5,Sunday,Dexter,Temporada 2: An Inconvenient Lie
Dexter: Temporada 2: Esperando para exhalar,2025-01-05,2025,1,January,5,Sunday,Dexter,Temporada 2: Esperando para exhalar
Dexter: Temporada 2: It's Alive!,2025-01-05,2025,1,January,5,Sunday,Dexter,Temporada 2: It's Alive!
Dexter: Temporada 1: Nacido libre,2025-01-03,2025,1,January,3,Friday,Dexter,Temporada 1: Nacido libre
Dexter: Temporada 1: Truth Be Told,2025-01-03,2025,1,January,3,Friday,Dexter,Temporada 1: Truth Be Told
Dexter: Temporada 1: Seeing Red,2025-01-03,2025,1,January,3,Friday,Dexter,Temporada 1: Seeing Red
Dexter: Temporada 1: Father Knows Best,2025-01-02,2025,1,January,2,Thursday,Dexter,Temporada 1: Father Knows Best
Cobra Kai: Temporada 6: Sangre por sangre,2025-01-02,2025,1,January,2,Thursday,Cobra Kai,Temporada 6: Sangre por sangre
El juego del calamar: Temporada 2: Fiesta de Halloween,2025-01-02,2025,1,January,2,Thursday,El juego del calamar,Temporada 2: Fiesta de Halloween
Palomas Negras: Temporada 1: En el crudo invierno,2025-01-01,2025,1,January,1,Wednesday,Palomas Negras,Temporada 1: En el crudo invierno
La diplomática: Temporada 2: Dreadnought,2025-01-01,2025,1,January,1,Wednesday,La diplomática,Temporada 2: Dreadnought
La diplomática: Temporada 2: Nuestra Señora de la Inmaculada Falsedad,2025-01-01,2025,1,January,1,Wednesday,La diplomática,Temporada 2: Nuestra Señora de la Inmaculada Falsedad
El juego del calamar: Temporada 2: Sustento y azar,2025-01-01,2025,1,January,1,Wednesday,El juego del calamar,Temporada 2: Sustento y azar
La diplomática: Temporada 2: El otro ejército,2024-12-31,2024,12,December,31,Tuesday,La diplomática,Temporada 2: El otro ejército
La diplomática: Temporada 2: Los idus de marzo,2024-12-31,2024,12,December,31,Tuesday,La diplomática,Temporada 2: Los idus de marzo
La diplomática: Temporada 2: La Catedral de San Pablo,2024-12-31,2024,12,December,31,Tuesday,La diplomática,Temporada 2: La Catedral de San Pablo
La diplomática: Temporada 2: Cuando llama un extraño,2024-12-31,2024,12,December,31,Tuesday,La diplomática,Temporada 2: Cuando llama un extraño
Dexter: Temporada 1: Dexter,2024-12-30,2024,12,December,30,Monday,Dexter,Temporada 1: Dexter
Dexter: Temporada 1: Shrink Wrap,2024-12-30,2024,12,December,30,Monday,Dexter,Temporada 1: Shrink Wrap
Dexter: Temporada 1: Círculo de amigos,2024-12-29,2024,12,December,29,Sunday,Dexter,Temporada 1: Círculo de amigos
Dexter: Temporada 1: Crocodile,2024-12-29,2024,12,December,29,Sunday,Dexter,Temporada 1: Crocodile
Palomas Negras: Temporada 1: Lo que nos ha costado todo,2024-12-15,2024,12,December,15,Sunday,Palomas Negras,Temporada 1: Lo que nos ha costado todo
Palomas Negras: Temporada 1: Empieza lo bueno,2024-12-15,2024,12,December,15,Sunday,Palomas Negras,Temporada 1: Empieza lo bueno
Palomas Negras: Temporada 1: La noche que llega,2024-12-15,2024,12,December,15,Sunday,Palomas Negras,Temporada 1: La noche que llega
Palomas Negras: Temporada 1: A una Paloma Negra,2024-12-15,2024,12,December,15,Sunday,Palomas Negras,Temporada 1: A una Paloma Negra
Equipaje de mano,2024-12-14,2024,12,December,14,Saturday,Equipaje de mano,
Caso no resuelto: ¿Quién mató a JonBenét Ramsey?: Temporada 1: Mantén a tus bebés cerca,2024-12-08,2024,12,December,8,Sunday,Caso no resuelto,¿Quién mató a JonBenét Ramsey?: Temporada 1: Mantén a tus bebés cerca
"Love, Death & Robots: Volumen 3: Los tres robots: Estrategias de salida",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 3: Los tres robots: Estrategias de salida
"Love, Death & Robots: Volumen 2: Hielo",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: Hielo
"Love, Death & Robots: Volumen 2: Refugio",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: Refugio
"Love, Death & Robots: Volumen 2: La visita",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: La visita
"Love, Death & Robots: Volumen 2: La hierba alta",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: La hierba alta
"Love, Death & Robots: Volumen 2: Un albino en el desierto",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: Un albino en el desierto
"Love, Death & Robots: Volumen 2: Respuesta evolutiva",2024-12-05,2024,12,December,5,Thursday,"Love, Death & Robots",Volumen 2: Respuesta evolutiva
Senna: Miniserie: Tiempo,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Tiempo
Senna: Miniserie: Héroe,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Héroe
Senna: Miniserie: Pasión,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Pasión
Senna: Miniserie: Ambición,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Ambición
Senna: Miniserie: Determinación,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Determinación
Senna: Miniserie: Vocación,2024-12-01,2024,12,December,1,Sunday,Senna,Miniserie: Vocación
Cobra Kai: Temporada 6: Sospechas en el aire,2024-11-23,2024,11,November,23,Saturday,Cobra Kai,Temporada 6: Sospechas en el aire
Cobra Kai: Temporada 6: Pelear a cara de perro,2024-11-23,2024,11,November,23,Saturday,Cobra Kai,Temporada 6: Pelear a cara de perro
Cobra Kai: Temporada 6: Benvinguts a Barcelona,2024-11-23,2024,11,November,23,Saturday,Cobra Kai,Temporada 6: Benvinguts a Barcelona
Asalto al Banco Central: Miniserie: La hora de la verdad,2024-11-18,2024,11,November,18,Monday,Asalto al Banco Central,Miniserie: La hora de la verdad
Asalto al Banco Central: Miniserie: El número 1,2024-11-17,2024,11,November,17,Sunday,Asalto al Banco Central,Miniserie: El número 1
"Asalto al Banco Central: Miniserie: Tictac, tictac",2024-11-17,2024,11,November,17,Sunday,Asalto al Banco Central,"Miniserie: Tictac, tictac"
Asalto al Banco Central: Miniserie: Off the record,2024-11-17,2024,11,November,17,Sunday,Asalto al Banco Central,Miniserie: Off the record
Asalto al Banco Central: Miniserie: ¡Todo el mundo al suelo!,2024-11-17,2024,11,November,17,Sunday,Asalto al Banco Central,Miniserie: ¡Todo el mundo al suelo!
Quién es JonBenét,2024-11-17,2024,11,November,17,Sunday,Quién es JonBenét,
Jake Paul vs. Mike Tyson,2024-11-16,2024,11,November,16,Saturday,Jake Paul vs. Mike Tyson,
The Angel: La historia de Ashraf Marwan,2024-11-10,2024,11,November,10,Sunday,The Angel,La historia de Ashraf Marwan
El abogado del Lincoln: Temporada 3: Los dioses de la culpa,2024-10-28,2024,10,October,28,Monday,El abogado del Lincoln,Temporada 3: Los dioses de la culpa
El abogado del Lincoln: Temporada 3: Fantasmas,2024-10-28,2024,10,October,28,Monday,El abogado del Lincoln,Temporada 3: Fantasmas
El abogado del Lincoln: Temporada 3: Hombre misterioso,2024-10-28,2024,10,October,28,Monday,El abogado del Lincoln,Temporada 3: Hombre misterioso
El abogado del Lincoln: Temporada 3: Relevancia,2024-10-28,2024,10,October,28,Monday,El abogado del Lincoln,Temporada 3: Relevancia
El abogado del Lincoln: Temporada 3: Imparable,2024-10-26,2024,10,October,26,Saturday,El abogado del Lincoln,Temporada 3: Imparable
El abogado del Lincoln: Temporada 3: Lo que pasa en Victorville…,2024-10-26,2024,10,October,26,Saturday,El abogado del Lincoln,Temporada 3: Lo que pasa en Victorville…
El abogado del Lincoln: Temporada 3: Los puntos ciegos del retrovisor,2024-10-26,2024,10,October,26,Saturday,El abogado del Lincoln,Temporada 3: Los puntos ciegos del retrovisor
El abogado del Lincoln: Temporada 3: Una pareja dispareja,2024-10-26,2024,10,October,26,Saturday,El abogado del Lincoln,Temporada 3: Una pareja dispareja
El abogado del Lincoln: Temporada 3: Circunstancia especial,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 3: Circunstancia especial
El abogado del Lincoln: Temporada 2: Moción retirada,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Moción retirada
El abogado del Lincoln: Temporada 3: La culebra,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 3: La culebra
El abogado del Lincoln: Temporada 2: Deja el pasado atrás,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Deja el pasado atrás
El abogado del Lincoln: Temporada 2: El quinto testigo,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: El quinto testigo
El abogado del Lincoln: Temporada 2: Cláusulas y condiciones,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Cláusulas y condiciones
El abogado del Lincoln: Temporada 2: Cui bono,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Cui bono
El abogado del Lincoln: Temporada 2: Mentes suspicaces,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Mentes suspicaces
El abogado del Lincoln: Temporada 2: Pruebas,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Pruebas
El abogado del Lincoln: Temporada 2: Conflictos,2024-10-25,2024,10,October,25,Friday,El abogado del Lincoln,Temporada 2: Conflictos
Engaño: Miniserie: Episodio 3,2024-10-24,2024,10,October,24,Thursday,Engaño,Miniserie: Episodio 3
El abogado del Lincoln: Temporada 2: Obligaciones,2024-10-24,2024,10,October,24,Thursday,El abogado del Lincoln,Temporada 2: Obligaciones
El abogado del Lincoln: Temporada 2: Las reglas de la conducta profesional,2024-10-24,2024,10,October,24,Thursday,El abogado del Lincoln,Temporada 2: Las reglas de la conducta profesional
El abogado del Lincoln: Temporada 1: El veredicto,2024-10-24,2024,10,October,24,Thursday,El abogado del Lincoln,Temporada 1: El veredicto
Engaño: Miniserie: Episodio 2,2024-10-23,2024,10,October,23,Wednesday,Engaño,Miniserie: Episodio 2
Engaño: Miniserie: Episodio 1,2024-10-23,2024,10,October,23,Wednesday,Engaño,Miniserie: Episodio 1
Los Enviados: Temporada 2: Episodio 8,2024-10-23,2024,10,October,23,Wednesday,Los Enviados,Temporada 2: Episodio 8
Los Enviados: Temporada 2: Episodio 7,2024-10-23,2024,10,October,23,Wednesday,Los Enviados,Temporada 2: Episodio 7
Los Enviados: Temporada 2: Episodio 6,2024-10-23,2024,10,October,23,Wednesday,Los Enviados,Temporada 2: Episodio 6
Los Enviados: Temporada 2: Episodio 5,2024-10-22,2024,10,October,22,Tuesday,Los Enviados,Temporada 2: Episodio 5
Los Enviados: Temporada 2: Episodio 4,2024-10-22,2024,10,October,22,Tuesday,Los Enviados,Temporada 2: Episodio 4
Los Enviados: Temporada 2: Episodio 3,2024-10-22,2024,10,October,22,Tuesday,Los Enviados,Temporada 2: Episodio 3
Los Enviados: Temporada 2: Episodio 2,2024-10-21,2024,10,October,21,Monday,Los Enviados,Temporada 2: Episodio 2
Los Enviados: Temporada 1: Episodio 1,2024-10-21,2024,10,October,21,Monday,Los Enviados,Temporada 1: Episodio 1
Sweet Bobby: La pesadilla de una identidad falsa,2024-10-17,2024,10,October,17,Thursday,Sweet Bobby,La pesadilla de una identidad falsa
The Sinner: Temporada 4: Percy: Parte VI,2024-10-15,2024,10,October,15,Tuesday,The Sinner,Temporada 4: Percy: Parte VI
The Sinner: Temporada 4: Percy: Parte V,2024-10-15,2024,10,October,15,Tuesday,The Sinner,Temporada 4: Percy: Parte V
The Sinner: Temporada 4: Percy: Parte IV,2024-10-15,2024,10,October,15,Tuesday,The Sinner,Temporada 4: Percy: Parte IV
The Sinner: Temporada 4: Percy: Parte III,2024-10-15,2024,10,October,15,Tuesday,The Sinner,Temporada 4: Percy: Parte III
The Sinner: Temporada 4: Percy: Parte I,2024-10-15,2024,10,October,15,Tuesday,The Sinner,Temporada 4: Percy: Parte I
¿Y ahora qué? El futuro según Bill Gates: Temporada 1: ¿Se puede ser demasiado rico?,2024-10-15,2024,10,October,15,Tuesday,¿Y ahora qué? El futuro según Bill Gates,Temporada 1: ¿Se puede ser demasiado rico?
¿Y ahora qué? El futuro según Bill Gates: Temporada 1: ¿Verdad o consecuencias?,2024-10-15,2024,10,October,15,Tuesday,¿Y ahora qué? El futuro según Bill Gates,Temporada 1: ¿Verdad o consecuencias?
Envidiosa: Temporada 1: La sirenita,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: La sirenita
Envidiosa: Temporada 1: Mujer quilombo,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Mujer quilombo
Envidiosa: Temporada 1: Un zapato feo y cómodo,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Un zapato feo y cómodo
Envidiosa: Temporada 1: Historia clínica,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Historia clínica
Envidiosa: Temporada 1: Rota y Roto,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Rota y Roto
Envidiosa: Temporada 1: Todas se casan menos vos,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Todas se casan menos vos
Envidiosa: Temporada 1: Pizza Delivery,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: Pizza Delivery
Envidiosa: Temporada 1: El juego de la vida,2024-10-15,2024,10,October,15,Tuesday,Envidiosa,Temporada 1: El juego de la vida
Envidiosa: Temporada 1: Leona pero no campeona,2024-10-14,2024,10,October,14,Monday,Envidiosa,Temporada 1: Leona pero no campeona
Envidiosa: Temporada 1: Ametralladora de likes,2024-10-14,2024,10,October,14,Monday,Envidiosa,Temporada 1: Ametralladora de likes
Envidiosa: Temporada 1: Barrilete cósmico,2024-10-14,2024,10,October,14,Monday,Envidiosa,Temporada 1: Barrilete cósmico
Envidiosa: Temporada 1: Todo sobre Vicky,2024-10-14,2024,10,October,14,Monday,Envidiosa,Temporada 1: Todo sobre Vicky
Los hermanos Menendez,2024-10-10,2024,10,October,10,Thursday,Los hermanos Menendez,
Formula 1: Drive to Survive: Temporada 6: Tres son multitud,2024-09-20,2024,9,September,20,Friday,Formula 1,Drive to Survive: Temporada 6: Tres son multitud
